descripcion,valor_usd,valor_pen,categoria,subcategoria,idioma,es_sintetico
estación de servicio - táxi ou aplicativo,151.6,560.91,Transporte,Taxi y aplicativo,pt,True
medicamentos / farmacia local,141.88,524.95,Salud y bienestar,Farmacia,es,True
equipo para ejercicio / farmacia local,80.9,299.32,Salud y bienestar,Equipamiento deportivo,es,True
Compra en florería local: tarjeta de regalo - Mercado Pago,81.97,303.26,Regalos,Tarjeta de regalo,es,True
recibo de agua / empresa eléctrica - Nequi,136.37,504.55,Servicios,Agua,es,True
Udemy - matrícula académica,123.51,456.98,Educación,Matrícula,es,True
curso profesional / Udemy,140.74,520.74,Educación,Cursos,es,True
medicamentos / farmacia local,233.62,864.4,Salud y bienestar,Farmacia,es,True
Pago de alojamiento en hotel en LATAM - Nequi,603.69,2233.67,Viajes,Alojamiento,es,True
consulta médica / gimnasio local - Mercado Pago,277.76,1027.73,Salud y bienestar,Consulta médica,es,True
equipamento de treino / gimnasio local - PIX,377.61,1397.18,Salud y bienestar,Equipamiento deportivo,pt,True
Pago de libros en Coursera,103.08,381.39,Educación,Libros,es,True
Compra em Spotify: materiais de crochê,18.75,69.36,Entretenimiento,Lectura y pasatiempos,pt,True
servicio general - compra diversa,138.61,512.88,Otros,Otros,pt,True
Compra en centro médico: membresía de gimnasio,40.13,148.49,Salud y bienestar,Gimnasio,es,True
Pago de servicio no identificado en servicio general,51.14,189.2,Otros,Otros,es,True
Compra en Jumbo: snacks - Mercado Pago,58.82,217.63,Alimentación,Supermercado,es,True
Pagamento de videogames em cine local,127.76,472.68,Entretenimiento,Videojuegos,pt,True
Compra en florería local: joyería,131.85,487.84,Regalos,Joyería,es,True
Compra en Netflix: cena con amigos,265.98,984.13,Entretenimiento,Eventos,es,True
pago diverso - compra diversa,131.69,487.26,Otros,Otros,es,True
snacks / Carrefour,102.33,378.6,Alimentación,Supermercado,es,True
entrenador personal / gimnasio local,269.52,997.22,Salud y bienestar,Entrenamiento,es,True
Compra en tienda de regalos: joyería,371.46,1374.43,Regalos,Joyería,es,True
recibo de gas / proveedor de internet,70.88,262.23,Servicios,Gas domiciliario,es,True
aulas de idiomas / Coursera,161.37,597.06,Educación,Cursos,pt,True
empresa de servicios - recibo de electricidad,297.97,1102.54,Servicios,Electricidad,es,True
consulta dental / farmacia local,362.06,1339.61,Salud y bienestar,Odontología,es,True
tarjeta de regalo / florería local - SPEI,39.68,146.81,Regalos,Tarjeta de regalo,es,True
Miniso - joias,245.25,907.46,Regalos,Joyería,pt,True
Coursera - libros,108.84,402.68,Educación,Libros,es,True
centro médico - clase de yoga,71.2,263.43,Salud y bienestar,Entrenamiento,es,True
Compra en Netflix: materiales para tejido,66.79,247.1,Entretenimiento,Lectura y pasatiempos,es,True
servicio general - pagamento diversos,53.72,198.75,Otros,Otros,pt,True
Pago de reparación vehicular en Cabify,230.08,851.31,Transporte,Mantenimiento vehicular,es,True
Mercado Libre - eletrônicos,499.74,1849.07,Compras,Electrónica,pt,True
suscripción a revista / cine local,36.23,134.03,Entretenimiento,Revistas,es,True
Pago de compra diversa en comercio no identificado,76.6,283.4,Otros,Otros,es,True
Compra en Carrefour: snacks,72.94,269.86,Alimentación,Supermercado,es,True
comercio local - calzado,176.83,654.27,Compras,Calzado,es,True
taxi o aplicativo / Uber,51.48,190.46,Transporte,Taxi y aplicativo,es,True
Compra em empresa eléctrica: conta de gás,198.22,733.4,Servicios,Gas domiciliario,pt,True
comida rápida / Rappi,28.1,103.94,Alimentación,Comida rápida,es,True
Compra en pago diverso: pago varios,46.63,172.52,Otros,Otros,es,True
Udemy - materiales educativos,105.85,391.64,Educación,Materiales educativos,es,True
Compra en comercio local: ropa,393.12,1454.58,Compras,Ropa,es,True
Pago de libros en Coursera,147.34,545.15,Educación,Libros,es,True
reparación vehicular / Uber,87.27,322.87,Transporte,Mantenimiento vehicular,es,True
pollo / Éxito,89.89,332.59,Alimentación,Supermercado,es,True
Car,169207.4,626067.38,Compras,Vehículo,en,False
Pago de recibo de agua en proveedor de internet,64.51,238.69,Servicios,Agua,es,True
Pago de taxi o aplicativo en estación de servicio,92.46,342.09,Transporte,Taxi y aplicativo,es,True
Pago de compra de vehículo en comercio local,1457.06,5391.27,Compras,Vehículo,es,True
Netflix - materiais de arte,128.46,475.3,Entretenimiento,Lectura y pasatiempos,pt,True
iFood - frango,96.57,357.31,Alimentación,Supermercado,pt,True
Compra em pago diverso: compra diversa,217.13,803.4,Otros,Otros,pt,True
centro médico - membresía de gimnasio,156.14,577.71,Salud y bienestar,Gimnasio,es,True
combustible / Cabify,255.89,946.81,Transporte,Combustible,es,True
Compra en farmacia local: equipo para ejercicio,484.16,1791.41,Salud y bienestar,Equipamiento deportivo,es,True
cine local - materiales para tejido,148.77,550.43,Entretenimiento,Lectura y pasatiempos,es,True
estación de servicio - combustible,25.84,95.6,Transporte,Combustible,es,True
Compra en Booking: actividad turística,154.25,570.7,Viajes,Turismo,es,True
café / Jumbo,68.27,252.56,Alimentación,Cafetería,es,True
clase de yoga / centro médico,29.3,108.39,Salud y bienestar,Entrenamiento,es,True
café / Rappi,61.33,226.89,Alimentación,Cafetería,es,True
comida rápida / Líder,108.6,401.8,Alimentación,Comida rápida,es,True
Netflix - videogames - PIX,158.79,587.53,Entretenimiento,Videojuegos,pt,True
hotel local - hospedagem em hotel,47.23,174.73,Viajes,Alojamiento,pt,True
Compra en Walmart: comida en restaurante,45.66,168.93,Alimentación,Restaurante,es,True
comercio local - ropa,305.78,1131.4,Compras,Ropa,es,True
Compra en pago diverso: compra diversa,258.71,957.23,Otros,Otros,es,True
flores / florería local,84.6,313.01,Regalos,Flores,es,True
Pagamento de livros em Udemy,132.4,489.87,Educación,Libros,pt,True
internet y telefonía / proveedor de internet,175.16,648.11,Servicios,Internet y telefonía,es,True
Pago de comida rápida en Soriana,125.61,464.77,Alimentación,Comida rápida,es,True
Miniso - juegos infantiles,89.77,332.12,Regalos,Juguetes,es,True
Pago de cena con amigos en cine local,206.12,762.66,Entretenimiento,Eventos,es,True
Pagamento de sabonete em tienda de cuidado personal,33.09,122.41,Cuidado personal,Higiene,pt,True
Pago de recibo de electricidad en empresa eléctrica,213.72,790.76,Servicios,Electricidad,es,True
clase de yoga / gimnasio local,98.8,365.55,Salud y bienestar,Entrenamiento,es,True
Compra em estación de servicio: manutenção do veículo,251.42,930.27,Transporte,Mantenimiento vehicular,pt,True
consulta médica / farmacia local,355.82,1316.54,Salud y bienestar,Consulta médica,es,True
verduras / Líder,19.74,73.01,Alimentación,Supermercado,es,True
Compra em Miniso: joias,251.63,931.04,Regalos,Joyería,pt,True
Plane Ticket,1044.9,3866.13,Viajes,Vuelo,en,False
Avon - peluquería,32.41,119.91,Cuidado personal,Peluquería,es,True
Pago de comida rápida en Coto,76.26,282.16,Alimentación,Comida rápida,es,True
arrendador - mantenimiento del hogar - Mercado Pago,48.9,180.95,Vivienda,Mantenimiento del hogar,es,True
taxi o aplicativo / Uber,93.72,346.75,Transporte,Taxi y aplicativo,es,True
Compra en Cornershop: verduras,92.5,342.25,Alimentación,Supermercado,es,True
pago diverso - servicio no identificado,169.43,626.87,Otros,Otros,es,True
Compra en Coursera: clases de idiomas,167.23,618.75,Educación,Cursos,es,True
Pagamento de equipamento de treino em centro médico,170.14,629.53,Salud y bienestar,Equipamiento deportivo,pt,True
medicamentos / gimnasio local,270.22,999.82,Salud y bienestar,Farmacia,es,True
Pago de verduras en supermercado local,16.16,59.77,Alimentación,Supermercado,es,True
Compra en LATAM: boleto aéreo,359.49,1330.11,Viajes,Vuelo,es,True
joyería / tienda de regalos,28.85,106.76,Regalos,Joyería,es,True
aluguel / servicio del hogar,496.68,1837.75,Vivienda,Alquiler,pt,True
Pago de alojamiento en hotel en hotel local - Yape,94.15,348.35,Viajes,Alojamiento,es,True
curso profesional / Coursera,81.46,301.37,Educación,Cursos,es,True
Compra en iFood: verduras,34.11,126.17,Alimentación,Supermercado,es,True
arrendador - alquiler de vivienda,649.05,2401.55,Vivienda,Alquiler,es,True
Rappi - pan,63.7,235.68,Alimentación,Supermercado,es,True
Pago de combustible en Cabify,65.14,241.01,Transporte,Combustible,es,True
Compra en estación de servicio: taxi o aplicativo,51.39,190.13,Transporte,Taxi y aplicativo,es,True
Pagamento de consulta médica em centro médico,400.65,1482.43,Salud y bienestar,Consulta médica,pt,True
Pago de reparación vehicular en Cabify,331.57,1226.82,Transporte,Mantenimiento vehicular,es,True
Compra en Spotify: cena con amigos,229.39,848.74,Entretenimiento,Eventos,es,True
Pago de entradas para concierto en cine local,31.66,117.13,Entretenimiento,Eventos,es,True
boleto aéreo / Booking - Nequi,495.05,1831.71,Viajes,Vuelo,es,True
verduras / Carrefour,17.71,65.5,Alimentación,Supermercado,es,True
curso profesional / institución educativa - Mercado Pago,189.01,699.35,Educación,Cursos,es,True
Compra en Éxito: pan,17.12,63.33,Alimentación,Supermercado,es,True
alquiler de vivienda / arrendador,715.38,2647.0,Vivienda,Alquiler,es,True
unidentified service / pago diverso,94.17,348.43,Otros,Otros,en,True
Pago de alquiler de vivienda en arrendador,912.44,3376.11,Vivienda,Alquiler,es,True
Compra en Cabify: combustible,119.59,442.5,Transporte,Combustible,es,True
Compra en florería local: juegos infantiles,152.33,563.63,Regalos,Juguetes,es,True
Cabify - combustible,166.74,616.93,Transporte,Combustible,es,True
Compra en proveedor de internet: recibo de gas,182.27,674.4,Servicios,Gas domiciliario,es,True
restaurante local - comida en restaurante,108.47,401.32,Alimentación,Restaurante,es,True
Pago de pago varios en servicio general,52.2,193.11,Otros,Otros,es,True
Spotify - entradas para concierto,472.83,1749.49,Entretenimiento,Eventos,es,True
clases de idiomas / institución educativa,84.3,311.89,Educación,Cursos,es,True
equipo para ejercicio / farmacia local,378.95,1402.16,Salud y bienestar,Equipamiento deportivo,es,True
iFood - café,39.89,147.56,Alimentación,Cafetería,pt,True
Payment for water bill at empresa de servicios,155.3,574.62,Servicios,Agua,en,True
Coursera - libros,212.32,785.59,Educación,Libros,es,True
Pago de recibo de agua en empresa de servicios,131.6,486.89,Servicios,Agua,es,True
Compra en proveedor de internet: recibo de electricidad,270.5,1000.85,Servicios,Electricidad,es,True
frutas / Rappi,55.31,204.65,Alimentación,Supermercado,es,True
administración residencial - mantenimiento del hogar,214.78,794.68,Vivienda,Mantenimiento del hogar,es,True
supermercado local - comida rápida,75.79,280.4,Alimentación,Comida rápida,es,True
suscripción a revista / cine local,74.8,276.74,Entretenimiento,Revistas,es,True
Pago de boleto aéreo en Booking,435.31,1610.68,Viajes,Vuelo,es,True
aluguel / administración residencial,49.12,181.76,Vivienda,Alquiler,pt,True
consulta dental / gimnasio local,183.14,677.64,Salud y bienestar,Odontología,es,True
Compra en tienda de regalos: tarjeta de regalo,137.54,508.88,Regalos,Tarjeta de regalo,es,True
Uber - combustible,127.18,470.54,Transporte,Combustible,es,True
serviço não identificado / pago diverso,143.46,530.8,Otros,Otros,pt,True
Walmart - verduras,56.24,208.06,Alimentación,Supermercado,es,True
Pago de membresía de gimnasio en centro médico,131.31,485.83,Salud y bienestar,Gimnasio,es,True
Avon - sabonete,38.37,141.95,Cuidado personal,Higiene,pt,True
compra diversa / servicio general,135.44,501.14,Otros,Otros,es,True
taxi o aplicativo / Uber,28.99,107.26,Transporte,Taxi y aplicativo,es,True
Pago de suscripción a revista en Netflix - Nequi,46.92,173.57,Entretenimiento,Revistas,es,True
Pago de materiales de arte en Netflix,32.5,120.22,Entretenimiento,Lectura y pasatiempos,es,True
alquiler de vivienda / servicio del hogar,1092.64,4042.87,Vivienda,Alquiler,es,True
hotel local - hospedagem em hotel,198.26,733.57,Viajes,Alojamiento,pt,True
matrícula académica / institución educativa,205.2,759.26,Educación,Matrícula,es,True
Compra em Pão de Açúcar: frango,73.55,272.13,Alimentación,Supermercado,pt,True
Compra en arrendador: alquiler de vivienda,459.84,1701.49,Vivienda,Alquiler,es,True
comercio no identificado - miscellaneous payment,130.73,483.67,Otros,Otros,en,True
Uber - transporte público,7.85,29.0,Transporte,Transporte público,pt,True
Compra en gimnasio local: consulta médica,171.64,635.08,Salud y bienestar,Consulta médica,es,True
Pago de flores en florería local,94.84,350.89,Regalos,Flores,es,True
Compra en Natura: champú,47.31,175.02,Cuidado personal,Higiene,es,True
Carrefour - café,6.32,23.38,Alimentación,Cafetería,pt,True
comercio no identificado - compra diversa,185.02,684.56,Otros,Otros,es,True
Compra en centro médico: equipo para ejercicio,500.41,1851.56,Salud y bienestar,Equipamiento deportivo,es,True
entrenador personal / farmacia local,66.18,244.85,Salud y bienestar,Entrenamiento,es,True
consulta dental / farmacia local,140.77,520.84,Salud y bienestar,Odontología,es,True
Compra en tienda de cuidado personal: jabón,30.01,111.01,Cuidado personal,Higiene,es,True
empresa eléctrica - recibo de gas - Mercado Pago,137.71,509.51,Servicios,Gas domiciliario,es,True
joias / Miniso,315.46,1167.21,Regalos,Joyería,pt,True
pollo / Coto,54.83,202.84,Alimentación,Supermercado,es,True
Compra en Udemy: libros,100.56,372.05,Educación,Libros,es,True
fast food / iFood,50.02,185.04,Alimentación,Comida rápida,pt,True
gimnasio local - consulta dental,326.27,1207.21,Salud y bienestar,Odontología,es,True
fast food / Pão de Açúcar,76.5,283.05,Alimentación,Comida rápida,pt,True
Pago de comida en restaurante en Oxxo,218.81,809.6,Alimentación,Restaurante,es,True
reparación vehicular / Uber,540.77,2000.9,Transporte,Mantenimiento vehicular,es,True
electricity bill / proveedor de internet,210.07,777.25,Servicios,Electricidad,en,True
Pago de materiales de arte en Spotify,73.99,273.73,Entretenimiento,Lectura y pasatiempos,es,True
florería local - flores,76.37,282.57,Regalos,Flores,es,True
medicamentos / gimnasio local,141.11,522.08,Salud y bienestar,Farmacia,es,True
Pagamento de materiais escolares em Udemy,93.46,345.81,Educación,Materiales educativos,pt,True
Purchase at comercio no identificado: miscellaneous payment,200.21,740.77,Otros,Otros,en,True
Carrefour - refeição em restaurante,122.06,451.6,Alimentación,Restaurante,pt,True
Pago de champú en Avon,42.04,155.51,Cuidado personal,Higiene,es,True
Compra em Udemy: matrícula acadêmica,243.95,902.64,Educación,Matrícula,pt,True
servicio del hogar - alquiler de vivienda,395.07,1461.81,Vivienda,Alquiler,es,True
Compra en Carrefour: pollo,90.02,333.05,Alimentación,Supermercado,es,True
Compra en Éxito: comida rápida,14.49,53.6,Alimentación,Comida rápida,es,True
Pagamento de brinquedos infantis em florería local,216.41,800.73,Regalos,Juguetes,pt,True
Uber - reparación vehicular,176.16,651.8,Transporte,Mantenimiento vehicular,es,True
Compra en Miniso: joyería,339.98,1257.94,Regalos,Joyería,es,True
Compra en Udemy: plataforma de aprendizaje,173.44,641.73,Educación,Plataformas de aprendizaje,es,True
medicamentos / farmacia local,229.56,849.38,Salud y bienestar,Farmacia,es,True
Compra em pago diverso: compra diversa,79.26,293.23,Otros,Otros,pt,True
Walmart - café,74.19,274.47,Alimentación,Cafetería,es,True
Rent,6872.4,25427.88,Vivienda,Alquiler,en,False
Pago de clase de yoga en farmacia local - Mercado Pago,125.48,464.28,Salud y bienestar,Entrenamiento,es,True
Éxito - comida en restaurante,244.89,906.11,Alimentación,Restaurante,es,True
Compra en Udemy: plataforma de aprendizaje,169.37,626.67,Educación,Plataformas de aprendizaje,es,True
Coffee,16.06,59.42,Alimentación,Cafetería,en,False
Chicken,69.09,255.63,Alimentación,Supermercado,en,False
comercio local - ropa,101.52,375.67,Compras,Ropa,es,True
Compra en empresa eléctrica: recibo de agua,155.5,575.34,Servicios,Agua,es,True
Compra en centro médico: entrenador personal,159.83,591.36,Salud y bienestar,Entrenamiento,es,True
Pago de boleto aéreo en hotel local - Nequi,182.33,674.6,Viajes,Vuelo,es,True
Compra en tienda de cuidado personal: cuidado de la piel,425.14,1573.03,Cuidado personal,Cuidado de la piel,es,True
Compra em pago diverso: pagamento diversos,144.39,534.22,Otros,Otros,pt,True
Pagamento de equipamento de treino em gimnasio local,681.67,2522.25,Salud y bienestar,Equipamiento deportivo,pt,True
Compra en Uber: combustible,32.98,122.01,Transporte,Combustible,es,True
Shoes,115.22,426.31,Compras,Calzado,en,False
Compra en proveedor de internet: internet y telefonía,164.92,610.19,Servicios,Internet y telefonía,es,True
actividad turística / LATAM,105.72,391.15,Viajes,Turismo,es,True
peluquería / tienda de cuidado personal,176.91,654.55,Cuidado personal,Peluquería,es,True
Pago de consulta médica en farmacia local,172.09,636.75,Salud y bienestar,Consulta médica,es,True
productos electrónicos / comercio local,547.2,2024.68,Compras,Electrónica,es,True
recibo de gas / empresa eléctrica,32.79,121.29,Servicios,Gas domiciliario,es,True
Compra en Rappi: pan,82.65,305.8,Alimentación,Supermercado,es,True
Compra en gimnasio local: equipo para ejercicio,204.85,757.94,Salud y bienestar,Equipamiento deportivo,es,True
proveedor de internet - recibo de electricidad,109.04,403.44,Servicios,Electricidad,es,True
Pago de champú en Avon,115.56,427.57,Cuidado personal,Higiene,es,True
Coffee,4.14,15.32,Alimentación,Cafetería,en,False
Pago de productos electrónicos en tienda departamental,172.02,636.48,Compras,Electrónica,es,True
lanches / Carrefour - PIX,64.32,237.95,Alimentación,Supermercado,pt,True
leche / Rappi,20.42,75.53,Alimentación,Supermercado,es,True
comida en restaurante / Walmart,259.27,959.32,Alimentación,Restaurante,es,True
transporte público / Cabify,57.86,214.05,Transporte,Transporte público,es,True
Mercado Libre - productos electrónicos,658.64,2437.0,Compras,Electrónica,es,True
Personal Trainer,175.15,648.06,Salud y bienestar,Entrenamiento,en,False
Pago de clase de yoga en farmacia local,69.6,257.5,Salud y bienestar,Entrenamiento,es,True
Compra en Miniso: tarjeta de regalo,72.09,266.74,Regalos,Tarjeta de regalo,es,True
farmacia local - entrenador personal - Mercado Pago,220.36,815.33,Salud y bienestar,Entrenamiento,es,True
Compra en comercio local: productos electrónicos,544.48,2014.59,Compras,Electrónica,es,True
reparación vehicular / Cabify,259.75,961.08,Transporte,Mantenimiento vehicular,es,True
Compra en comercio local: ropa,151.83,561.76,Compras,Ropa,es,True
Compra em tienda departamental: eletrônicos - PIX,372.14,1376.96,Compras,Electrónica,pt,True
Compra em Coursera: livros,147.42,545.47,Educación,Libros,pt,True
Pago de videojuegos en Spotify,77.2,285.63,Entretenimiento,Videojuegos,es,True
Compra en Rappi: café,24.97,92.35,Alimentación,Cafetería,es,True
Compra en supermercado local: comida rápida,60.13,222.45,Alimentación,Comida rápida,es,True
gimnasio local - consulta dental - Mercado Pago,70.41,260.49,Salud y bienestar,Odontología,es,True
Compra en Jumbo: comida en restaurante,57.7,213.46,Alimentación,Restaurante,es,True
Pago de equipo para ejercicio en centro médico,183.15,677.68,Salud y bienestar,Equipamiento deportivo,es,True
Pagamento de consulta médica em gimnasio local - PIX,404.98,1498.43,Salud y bienestar,Consulta médica,pt,True
Pago de taxi o aplicativo en Uber,155.03,573.6,Transporte,Taxi y aplicativo,es,True
Compra en Uber: combustible,210.17,777.62,Transporte,Combustible,es,True
Toothpaste,19.7,72.89,Cuidado personal,Higiene,en,False
farmacia local - consulta médica,605.03,2238.66,Salud y bienestar,Consulta médica,es,True
Pago de materiales para tejido en Spotify,44.15,163.34,Entretenimiento,Lectura y pasatiempos,es,True
verduras / Jumbo,28.91,106.95,Alimentación,Supermercado,es,True
Uber - combustible,152.09,562.74,Transporte,Combustible,es,True
Pago de membresía de gimnasio en farmacia local,63.84,236.17,Salud y bienestar,Gimnasio,es,True
Pago de equipo para ejercicio en farmacia local,158.37,585.96,Salud y bienestar,Equipamiento deportivo,es,True
cine local - videojuegos - Mercado Pago,107.89,399.2,Entretenimiento,Videojuegos,es,True
Pago de combustible en estación de servicio,124.62,461.09,Transporte,Combustible,es,True
comercio no identificado - servicio no identificado,67.45,249.53,Otros,Otros,es,True
Spotify - suscripción a revista,50.68,187.51,Entretenimiento,Revistas,es,True
florería local - joyería,404.0,1494.84,Regalos,Joyería,es,True
Compra en Coursera: libros,230.39,852.42,Educación,Libros,es,True
Pago de productos electrónicos en tienda departamental,311.53,1152.72,Compras,Electrónica,es,True
Pago de champú en Avon - Mercado Pago,19.46,71.97,Cuidado personal,Higiene,es,True
Clothes,329.38,1218.71,Compras,Ropa,en,False
taxi o aplicativo / Cabify,37.97,140.46,Transporte,Taxi y aplicativo,es,True
centro médico - personal trainer,214.96,795.35,Salud y bienestar,Entrenamiento,pt,True
Pago de boleto aéreo en Booking,580.26,2147.03,Viajes,Vuelo,es,True
cine local - cena con amigos,256.38,948.6,Entretenimiento,Eventos,es,True
Pago de suscripción a revista en cine local,21.16,78.26,Entretenimiento,Revistas,es,True
membresía de gimnasio / farmacia local,101.67,376.15,Salud y bienestar,Gimnasio,es,True
Pago de equipo para ejercicio en gimnasio local - Mercado Pago,396.2,1465.94,Salud y bienestar,Equipamiento deportivo,es,True
Compra em centro médico: medicamentos,429.49,1589.12,Salud y bienestar,Farmacia,pt,True
Compra en Netflix: servicio de streaming,86.33,319.4,Entretenimiento,Streaming,es,True
Pagamento de conta de água em empresa eléctrica,173.52,642.0,Servicios,Agua,pt,True
Compra en servicio del hogar: alquiler de vivienda,1109.03,4103.52,Vivienda,Alquiler,es,True
servicio de streaming / cine local,80.56,298.04,Entretenimiento,Streaming,es,True
Pago de entrenador personal en centro médico,438.2,1621.37,Salud y bienestar,Entrenamiento,es,True
Compra en Booking: actividad turística,252.65,934.82,Viajes,Turismo,es,True
Oxxo - leche,26.99,99.83,Alimentación,Supermercado,es,True
Rappi - comida en restaurante,103.56,383.19,Alimentación,Restaurante,es,True
Compra en servicio del hogar: alquiler de vivienda,399.89,1479.63,Vivienda,Alquiler,es,True
Pago de snacks en Carrefour,16.74,61.93,Alimentación,Supermercado,es,True
Pago de reparación vehicular en Uber,296.29,1096.26,Transporte,Mantenimiento vehicular,es,True
farmacia local - consulta dental,396.6,1467.43,Salud y bienestar,Odontología,es,True
Pago de pasta dental en Avon,24.59,90.95,Cuidado personal,Higiene,es,True
compra de vehículo / tienda departamental,1177.42,4356.63,Compras,Vehículo,es,True
Coursera - plataforma de aprendizaje,121.91,451.04,Educación,Plataformas de aprendizaje,es,True
Natura - cuidado de la piel,240.09,888.34,Cuidado personal,Cuidado de la piel,es,True
Pagamento de matrícula acadêmica em Udemy,257.58,953.04,Educación,Matrícula,pt,True
florería local - brinquedos infantis,137.23,507.75,Regalos,Juguetes,pt,True
Compra en pago diverso: servicio no identificado,277.57,1027.01,Otros,Otros,es,True
Pagamento de livros em institución educativa,64.48,238.57,Educación,Libros,pt,True
Pago de comida en restaurante en Oxxo,145.46,538.18,Alimentación,Restaurante,es,True
Pago de equipo para ejercicio en gimnasio local,506.58,1874.38,Salud y bienestar,Equipamiento deportivo,es,True
farmacia local - consulta médica - Mercado Pago,356.34,1318.47,Salud y bienestar,Consulta médica,es,True
Compra en LATAM: boleto aéreo,292.52,1082.36,Viajes,Vuelo,es,True
Compra em gimnasio local: personal trainer - PIX,313.43,1159.7,Salud y bienestar,Entrenamiento,pt,True
Pago de pasta dental en Avon,42.08,155.66,Cuidado personal,Higiene,es,True
cine local - materiales de arte,84.95,314.28,Entretenimiento,Lectura y pasatiempos,es,True
Compra en servicio del hogar: alquiler de vivienda,1057.66,3913.41,Vivienda,Alquiler,es,True
servicio no identificado / comercio no identificado,28.04,103.74,Otros,Otros,es,True
Pago de cena con amigos en Spotify,169.15,625.86,Entretenimiento,Eventos,es,True
Compra en hotel local: alojamiento en hotel,211.16,781.31,Viajes,Alojamiento,es,True
Compra en empresa de servicios: recibo de gas,112.78,417.28,Servicios,Gas domiciliario,es,True
dinner with friends / cine local,10.64,39.35,Entretenimiento,Eventos,en,True
Pago de compra diversa en servicio general,66.44,245.83,Otros,Otros,es,True
Pago de libros en institución educativa,166.0,614.19,Educación,Libros,es,True
Compra em comercio no identificado: serviço não identificado,132.26,489.35,Otros,Otros,pt,True
Netflix - materiales de arte,103.85,384.24,Entretenimiento,Lectura y pasatiempos,es,True
pago varios / pago diverso - SPEI,131.42,486.23,Otros,Otros,es,True
Pago de calzado en tienda departamental,134.4,497.29,Compras,Calzado,es,True
Pago de actividad turística en hotel local,31.4,116.19,Viajes,Turismo,es,True
Compra em Booking: passagem aérea,421.99,1561.41,Viajes,Vuelo,pt,True
proveedor de internet - recibo de gas,254.92,943.2,Servicios,Gas domiciliario,es,True
Spotify - entradas para concierto - SPEI,165.92,613.88,Entretenimiento,Eventos,es,True
cena con amigos / cine local,238.57,882.73,Entretenimiento,Eventos,es,True
Pago de consulta dental en gimnasio local,197.81,731.89,Salud y bienestar,Odontología,es,True
Compra en proveedor de internet: recibo de gas,79.08,292.57,Servicios,Gas domiciliario,es,True
arrendador - alquiler de vivienda,680.05,2516.29,Vivienda,Alquiler,es,True
Pagamento de conta de gás em empresa de servicios,130.53,482.95,Servicios,Gas domiciliario,pt,True
Compra en tienda departamental: productos electrónicos,199.45,738.03,Compras,Electrónica,es,True
Pagamento de hospedagem em hotel em LATAM,368.77,1364.46,Viajes,Alojamiento,pt,True
pago diverso - compra diversa,259.09,958.65,Otros,Otros,es,True
Pago de productos electrónicos en tienda departamental,506.41,1873.74,Compras,Electrónica,es,True
Netflix - cena con amigos,54.46,201.48,Entretenimiento,Eventos,es,True
Compra em proveedor de internet: conta de gás,77.39,286.34,Servicios,Gas domiciliario,pt,True
Pagamento de calçados em Mercado Libre,230.88,854.27,Compras,Calzado,pt,True
Coursera - matrícula académica,92.32,341.56,Educación,Matrícula,es,True
Pagamento de aula de yoga em farmacia local - PIX,76.13,281.65,Salud y bienestar,Entrenamiento,pt,True
consulta médica / farmacia local,237.74,879.63,Salud y bienestar,Consulta médica,es,True
tarjeta de regalo / florería local,210.71,779.61,Regalos,Tarjeta de regalo,es,True
iFood - café,36.52,135.11,Alimentación,Cafetería,pt,True
Pago de compra de vehículo en comercio local,449.71,1663.96,Compras,Vehículo,es,True
estación de servicio - transporte público,9.53,35.24,Transporte,Transporte público,pt,True
Carrefour - refeição em restaurante,88.76,328.39,Alimentación,Restaurante,pt,True
Pago de entradas para concierto en cine local,415.22,1536.34,Entretenimiento,Eventos,es,True
empresa de servicios - recibo de agua,55.15,204.05,Servicios,Agua,es,True
taxi o aplicativo / Cabify,25.59,94.66,Transporte,Taxi y aplicativo,es,True
Compra en gimnasio local: equipo para ejercicio,184.98,684.41,Salud y bienestar,Equipamiento deportivo,es,True
Compra en Mercado Libre: productos electrónicos,349.28,1292.4,Compras,Electrónica,es,True
comercio no identificado - serviço não identificado,84.33,312.03,Otros,Otros,pt,True
Pago de membresía de gimnasio en centro médico,209.04,773.43,Salud y bienestar,Gimnasio,es,True
Pago de taxi o aplicativo en Uber,247.09,914.22,Transporte,Taxi y aplicativo,es,True
táxi ou aplicativo / estación de servicio,117.04,433.04,Transporte,Taxi y aplicativo,pt,True
Compra em estación de servicio: combustível,172.3,637.49,Transporte,Combustible,pt,True
Compra en arrendador: alquiler de vivienda,605.41,2240.15,Vivienda,Alquiler,es,True
calçados / tienda departamental,166.91,617.56,Compras,Calzado,pt,True
empresa eléctrica - recibo de gas,158.16,585.2,Servicios,Gas domiciliario,es,True
Compra em Miniso: flores,57.97,214.46,Regalos,Flores,pt,True
farmacia local - consulta dental,155.57,575.61,Salud y bienestar,Odontología,es,True
Compra en Carrefour: comida rápida,44.62,165.08,Alimentación,Comida rápida,es,True
farmacia local - consulta médica,374.34,1385.08,Salud y bienestar,Consulta médica,es,True
Compra en empresa de servicios: recibo de electricidad,245.94,909.99,Servicios,Electricidad,es,True
Pago de entrenador personal en farmacia local - Nequi,91.48,338.46,Salud y bienestar,Entrenamiento,es,True
fast food / Carrefour,61.83,228.75,Alimentación,Comida rápida,pt,True
Pago de consulta dental en centro médico - Mercado Pago,292.32,1081.61,Salud y bienestar,Odontología,es,True
